UserID,Date,Comment
Kaven Borbon,2025-02-07 05:37:25+00:00,"Yet this is available on 
@Azure
 (Microsoft) and 
@awscloud
 (Amazon)"
Gustavo,2025-02-07 18:02:09+00:00,It’s juts the same in china “bro”
'Preon,2025-02-07 21:57:07+00:00,@ShangguanJiewen
cromatikap,2025-02-16 00:25:40+00:00,Does it apply if it is not downloaded and transferred from an USB stick for example?
czarlee,2025-02-05 17:10:17+00:00,US turning into a pariah state...
Murat O.,2025-02-05 17:20:41+00:00,+20 Year Jail
FlashPoint,2025-02-05 17:25:05+00:00,Why the US should be a free country from a communist view? Stay your ass over there and serve them CCP.
Flailing_Weasel,2025-02-05 17:25:53+00:00,"I love to prove a point to the Gestapo should they show up at my door. Doubt this will pass it's just noise to distract people from the 1,000 other things they're doing to rape America on its deathbed."
Jay,2025-02-05 17:28:01+00:00,facist usa
United Nazis of the Anglo Saxon States,2025-02-05 17:28:15+00:00,the land of freeDumb
PiggyChan,2025-02-05 17:51:06+00:00,"The USA is not a 'free' country?
Indeed not."
Defender Ben,2025-02-05 18:14:36+00:00,And you are a fucking chinese propagandist.
Red Zambala,2025-02-05 18:36:52+00:00,I am not downloading but using deepseek website chat.
Rudder Travel Unrestricted,2025-02-05 19:01:06+00:00,Is that like Instagram or Facebook in China?
Ansphn,2025-02-05 23:51:53+00:00,We already know all that.
cromatikap,2025-02-16 00:35:21+00:00,"I asked Grok, nothing to worry about they are too slow for us"
Diesel Dawg,2025-02-05 07:10:00+00:00,"A bill proposed by one dipshit congressman is not a law. We are a representative constitutional republic, something that is lost on you commie trolls.
#AISux"
Diesel Dawg,2025-02-05 07:13:32+00:00,Fact: All of these AI programs suck donkey balls.
Psurneik,2025-02-05 09:41:49+00:00,"Deepseek is open source, meaning anyone can replicate it and create their own version. I think it means banning it won't work. You can't ban a for loop and some code..."
Johan Yuduai MAGA,2025-02-05 11:24:43+00:00,"Downloading the code, zipping it and making it auto download to anyone who clicks the link as the new rick roll"
Nominal Hippopotamus,2025-02-05 11:32:08+00:00,The same people who wanted to put people in prison camps for not taking the vaccines will say it’s your right to knowingly download Chinese spyware and give all your phone’s data to the CCP. Your phone contains a lot more information than you realize. Data nobody should have.
Max Coveri,2025-02-05 12:45:53+00:00,"Free market is a myth sold in university lectures. It exists as long as we are winning, when we don't we simply ban things."
Stri-X,2025-02-05 13:46:23+00:00,Is China a free country to you Jason? Ok
"Communist Int'l, LLC, Sarc.",2025-02-05 16:19:38+00:00,"How much does the CCP pay foreign devil round eyes?

Your allegiance to a mass murdering chinese culture destroying band of human trash is disgraceful.

Look everybody, how easy it is for the enemies of humanity to pay morally repugnant quizlings to sing their tune.

GFY"
IDIDNTDOIT,2025-02-05 17:22:10+00:00,No one can be arrested if they don’t know about it but again I haven’t seen or heard anything about this. This can be fake news.
IDIDNTDOIT,2025-02-05 17:23:15+00:00,"And otherwise, TikTok hasn’t been purchased by anybody so you can’t actually download it update it or anything because it’s not available so there’s that as well"
ManhattanMetsFan,2025-02-05 17:41:00+00:00,This may be unfamiliar to you but the US is not a dictatorship and a congressman introducing a bill which was quickly shut down doesn't make it a law.
Elle Phant,2025-02-05 17:58:50+00:00,"You can't post whatever you want on any social media in China, you can't talk about the government, you can't criticize your country, you can't point on failures, you can't tell the world what happens there.

Come on boy, let's talk about freedom."
Ulrich Tonmoy,2025-02-05 21:08:31+00:00,Free in free to hate demonize Chinese Russian and Muslim else purged like no criticism of israel and no love of free open-source techs but speend 500 billion in close ai
Alexa Smith,2025-02-05 21:33:07+00:00,It is the competitors you are dumb..s ! You don’t want them to see all your data
chinoypatriot,2025-02-05 23:14:43+00:00,Now they are starting to understand why China guards their economy lol
S,2025-02-06 00:00:10+00:00,"M.A. An American Journalist in China.

This explains all."
OMEN ♠︎,2025-02-06 13:36:58+00:00,"Because.. being able to use TikTok is a measurement of how free a country is. People in China can't use American apps like the one you'er bitching on right now. For the Chinese, it is illegal to even portray China in a negative manner online. You should move back to China"
Mamba ﾒ𝟶,2025-02-27 17:33:28+00:00,Shorter than the tiktok ban
Ryan Grim,2025-02-16 19:41:35+00:00,"“The bill was still dead until October 7.”

More public admission that it was TikTok undermining Israel’s narrative after 10/7 that built the momentum to ban it."
Joe Kawaja,2025-02-16 22:24:24+00:00,"At some point, Zionist rule becomes unacceptable. I think we are well beyond that point."
Parrhizzia,2025-02-16 19:55:31+00:00,The few other players:
Yosef Brooks,2025-02-16 20:22:31+00:00,"Ryan the bill was introduced way before October 7th which had nothing to do with Israel, but it wasn't proceeding forward out of committee. Then October 7th happened and the Anti Semitic smut that was being propagated on Tik Tok encouraged lawmakers to take a second look."
Raptors season,2025-02-16 20:12:44+00:00,Now they're just playing in our faces .. They're flat out saying Israel controls us and there is nutting you can do
We are the Asteroid; Look in the Mirror,2025-02-16 20:26:50+00:00,The Stop Tik Tok Isrseli Narrative Underming Bill
Uhuru Worldwide,2025-02-16 21:41:39+00:00,"The classified brief: ""AIPAC won't fund you if you vote to save TikTok""

Politicians: ""50-0""
AIPAC: """""
Osizzle,2025-02-16 19:56:00+00:00,They aren’t even hiding it
Yosef Brooks,2025-02-16 20:27:04+00:00,"I'm personally horrified by the obscenities and lies that are propagated on social media against Israel and Jews in levels not seen since the 30's. However curtailing the ability of people to speak freely is never the answer, and is always a double edged sword."
Edmond O,2025-02-16 21:24:44+00:00,"One of our political parties is bought and paid for by Israel.
So is the other one."
Limos For Sale,2025-02-16 23:58:16+00:00,Israel is an unhinged culture of murderous morons.
Daniel,2025-02-16 19:53:40+00:00,"This has been obvious for some time, but it is surprising to see a NatSec hawk like Warner publicly admit it."
Brendan Forde,2025-02-16 21:00:16+00:00,As if we didn't know it was Israel pushing for it...
Yosef Brooks,2025-02-16 20:29:39+00:00,"Speaking of censorship, 
@dropsitenews
 won't allow me to follow it. 
What kind of cowardice is that? 
What  news site blocks people from following it? 
You guys can't handle someone challenging your assertions?
Are your arguments that weak?"
Norm,2025-02-16 21:00:59+00:00,Democrats admitting to the tactical blunders
peig sayers but lazier,2025-02-16 22:09:18+00:00,him referring to himself as Irish Catholic is pissing me off more than it should
DS,2025-02-16 20:59:38+00:00,Trump is breaking the law. The bill was passed and he is lawlessly defying it. Like a tyrant
Facade,2025-02-17 15:52:54+00:00,"The bill was proposed during Trump's first term, dumbass"
MattersThatFact,2025-02-16 23:25:14+00:00,"It's almost like we're allies with Israel, and not the people who chant death to America and cut people's heads off"
Niko,2025-02-16 23:26:24+00:00,"I can tell Mark Warner has something in his system almost all of the time because of the fact that he is constantly with the cottonmouth. He should fess up. Diet pills, amphetamines, anti-depressants, whatever it may be must be public knowledge because dude makes unAmerican moves"
Cel. Mostarda,2025-02-16 23:50:35+00:00,And the government of his country went to Munich to criticize the lack of free speech in Europe.
Richard Cuadra,2025-02-17 01:52:23+00:00,LOL
valleyforge,2025-02-17 04:25:12+00:00,"TikTok didn't have to do anything. Every legacy media outlet worldwide, the UN, the ICC and plenty of governments were carrying water for Hamas for the last 18 months and still are."
"Estril, Hot Dog from Heaven",2025-02-17 04:44:19+00:00,I'm not sure why you would take his word for it.   He's lying.  It had nothing to do with Israel.  He wanted to pass a surveillance bill for the US government to be able to legally spy on Americans.
Jonas Sigurdsson,2025-02-17 04:47:26+00:00,
bretthenry.base.eth,2025-02-17 06:55:14+00:00,Or maybe it was the simple fact that it is directly connected to the CCP. Israel Derangement Syndrome.
chandlerlowell5,2025-02-17 07:52:56+00:00,You're all a bunch of retards
Smarter Than You,2025-02-17 10:42:52+00:00,False
Samuel Goldstein,2025-02-17 11:46:12+00:00,Learn: NEVER EVER FUCK WITH JEWS!!!!!!
High Crimes & Misdemeanors,2025-02-17 17:28:29+00:00,"The nations around the globe need to unite and take the US corporate monarchy and Israel down now while they can.  The country that makes nothing is an easy target.   If they don't demand regime change in the USA now, they will end up fighting a fascists government and WWIII."
Zipclap2,2025-02-17 22:31:30+00:00,"You simply repeated Hamas propagandist DropSite in saying that Israel was the driving force, but the clip does not say that at all."
J. C. Kent,2025-02-16 20:33:54+00:00,"The truth shall set you free! Anyone with an iota of reasoning knows why the force in trying to ban TikTok! only space where real truth was being spread about what was happening in Gaza! And ofcourse this doesn’t help Israeli hasbara! So came, bought politicians to the rescue"
Ben Jammin,2025-02-16 22:04:12+00:00,"Boosting misinformation that promotes violent ethnic hatred is bad, actually."
Yosef Brooks,2025-02-16 20:25:00+00:00,It's astonishing that anyone from the left has the temerity to speak out against online censorship after everything the socuap Media companies were compelled to censor due to leftist pressure and after what the Biden Admin did during Covid. You have zero standing or credibility.
zerophase,2025-02-16 22:04:25+00:00,"The left is filled with antisemites who want to liquidate the Jews. They have since Marx, as they view the strong Jewish internal identity as a threat to rebuilding man in socialism."
Brian,2025-02-17 00:00:17+00:00,"They were asking for it, promoting a foreign agenda against America."
Freedom Rox,2025-02-17 00:03:18+00:00,"I don't understand this irrational loyalty we have with Israel.  It's like our elected officials believe the country can do no wrong.  Don't get me wrong, Israel is beautiful, yet they are not perfect.  Maybe some $$ under the table??"
Justin Grundmann,2025-02-17 01:03:39+00:00,So the theory that Trump will give Israel everything they want was proven false yet again.
Mike Healy,2025-02-17 19:01:26+00:00,Why won’t anyone say that we only want China out of Tik Tok?
ToBe-orNot,2025-02-17 20:30:14+00:00,This shouldn’t be a surprise. Israel controls what Americans are allowed to see/say/do! Free country :)
kei ✩,2025-02-21 01:18:47+00:00,Hxg getting TikTok to ban Katseye’s TikTok account so that when they’re reactivated they are rebranded for the comeback … THE PROMOO
captain defend a bitch,2025-02-21 01:35:08+00:00,We’re so delusional that it’s laughable. Only we understand each other.
Kriss,2025-02-21 01:23:04+00:00,"Okay
I see the vision"
yan,2025-02-21 01:21:20+00:00,hoping this is the case
mags,2025-02-21 01:24:00+00:00,this is it this is IT
𝑴𝒊𝒄𝒉𝒆𝒍𝒍𝒆¹³ ‍,2025-02-21 01:26:07+00:00,You're onto something..
Pinky,2025-02-21 01:49:10+00:00,Wait what happend??? They are banned why??
womensbasketballtingz,2025-02-21 06:52:41+00:00,
Use Yandex Search Engine for Anti Zionist searches,2025-02-25 15:18:38+00:00,"US government ""We banned tiktok for Israel"". 
Americans have lost billions of dollars b/c tiktok paid their content creators in favor of forcing a Ziopoly & brainwashing scheme in the USA to remain pro Israel. 
Israelis keep tiktok though to sell their genocidal dances and decry victimhood despite 53 countries now boycott them. 
#Treason"
Free Speech,2025-02-25 15:47:04+00:00,Don’t forget that Mike Johnson was the one who approved the 1.2 trillions USAID package last year. Dems and reps are both guilty.
Use Yandex Search Engine for Anti Zionist searches,2025-02-25 15:47:56+00:00,"http://x.com/_NicoleNonya/status/1878841326923559328………Ask why Musk hasn't put out 1 tweet in the trillions laundered to Israel since 1972 according to cited federal law forcing Americans into debt slavery to Israel.  Where's DOGE to cut this waste?
Both sides belong in the Hague."
Free Speech,2025-02-25 15:54:03+00:00,I see you are from Germany. How awake are the people in Germany?
Use Yandex Search Engine for Anti Zionist searches,2025-02-25 16:43:04+00:00,"The evil shit Americans permit has consequences, your CIA and Mossad agents are destroying Europe and the USA."
windycityjimmy,2025-02-26 18:55:07+00:00,"No, they’re good at division of mind control as they always been. They’ve been kicked out of 22 nations for a reason they’re evil and they worship bail just look at Hollywood and you could see what the Jews really are behind the scenes pedophiles and Satanist."
Conversationalist,2025-02-25 15:25:52+00:00,"this was made possible by the singular ownership of American media sources

Americans have no awareness of the way they are manipulated into accepting specific population version of the truth 

If you were told TikTok was right because of China from every angle all day every day"
Scotty Hatton,2025-02-25 15:49:11+00:00,Great videos
IMJA,2025-02-25 16:59:31+00:00,Hiding the truth is the only thing they can try do—telling the truth is no longer an act of patriotism!
D.Williams,2025-02-26 12:23:33+00:00,Will be Israel’s goys and slaves plum til the time yoahuah arrives
DeArius Marlow,2025-02-27 15:19:22+00:00,Tiktok support is so trash. Yall can ban the app now
૮ ྀི◞ ◟ ა,2025-02-23 21:47:45+00:00,trump cut the suicide hotline????????????? ok
Meagan Johnson,2025-02-24 18:59:39+00:00,"Donald Trump is the one who signed the National Suicide Hotline Designation Act in 2020 that established 988 as the universal number for the national suicide prevention hotline to begin with.
He did not ""cut the suicide hotline."""
Ein/Edge || Izuku of shedtwt,2025-02-24 21:09:16+00:00,He also signed the ban for tiktok but brought it back? He seems to change his mind a lot
Meagan Johnson,2025-02-25 16:16:09+00:00,"The TikTok ban has absolutely nothing to do with the fact that he did not cut the suicide hotline. The original post is falsely spinning it as if Trump just got rid of it, which he didn't. Bringing up the TikTok ban is just a classic case of deflection because you've got no other"
Ein/Edge || Izuku of shedtwt,2025-02-25 16:45:10+00:00,"If you would read my other comments to multiple other ppl you would know my pov on things. Instead you choose to stereotype me, now that is stupid."
KendyKilly,2025-02-25 07:15:25+00:00,The reason Trump wanted to ban tik tok back in 2020 was because there was a potential security breach. We had no idea where our data was going at the time. It was thought that China was stealing our data so yes Trump wanted to ban it so it doesn’t put us at risk. In the same year
Ein/Edge || Izuku of shedtwt,2025-02-25 07:46:42+00:00,THANK YEW  you actually gave a good argument rather than being extremely vague. I understand what your saying and I agree
bi am,2025-02-25 03:27:12+00:00,Trumps dick is so far down your throat it’s actually gross
Ein/Edge || Izuku of shedtwt,2025-02-25 07:37:29+00:00,HELLO? I DO NAWT LIKE TRUMP
Obi Wan Billmurray,2025-02-25 18:51:00+00:00,"USMCA.

2020:

""USMCA is the fairest, most balanced, & beneficial trade agreement we have ever signed into law.  It’s the best agreement we’ve ever made.""

Yesterday:

“I look at some of these agreements, I’d read them at night & I’d say, ‘Who would ever sign a thing like this?’"""
Ein/Edge || Izuku of shedtwt,2025-02-25 21:18:07+00:00,"LITERALLY. Like I fear he's changed his mind abt many things it's not even the tiktok ban or the first post that is allegedly false, or even abortions i believe? Correct me if I'm wrong"
Mean Green Mother,2025-02-25 02:33:26+00:00,"He didn't bring it back, he just extended their time to sell it by 75 days"
Vbhhhddfooo,2025-02-26 14:18:55+00:00,No he didn’t DUMBASS Joe Biden did
Jeff Hall - PCI Guru - #StandWithUkraine,2025-02-26 21:24:13+00:00,What ever happened to the ban on TikTok?
moonbee ,2025-02-18 17:05:33+00:00,"Pour ceux qui avaient encore un doute sur le fait qu’ veut empêcher notre liberté d’expression partout : un sénateur US confirme que c’est pour et sur ordre d’ qu’ils veulent censurer TikTok . 

Tout ça sous couvert « de lutte contre l’antisémitisme »"
Procureur #Matricule525 #StandUpAlepp,2025-02-19 10:14:22+00:00,"Mais, ce sont les USA, de la bouche de J.D. Vance, qui prétendent qu'il n'y a plus de Liberté d'Expression en Europe."
padeco,2025-02-18 22:16:43+00:00,La vérité du gén.cide leur est insupportable comme pour les vérités sur l'espionnage pédophil.e a la Eipstein ou l'empoisonnement par les v.accins Pfiz.r . Dur réalité pour le peuple des l.umieres
Rahal wl,2025-02-19 07:26:11+00:00,Il n'y avait jamais eu de démocratie juste des dictatures par les armes et d'autre part les urnes.
TheZealot,2025-02-19 12:40:23+00:00,"Moi aussi hier j'ai rencontré un mec bourré a la mort qui m'a dit la meme chose au bistrot.
Espece de merde que tu es."
Clash Report,2025-02-16 20:31:31+00:00,"U.S. Senator Mark Warner at Munich Security Conference: Israel pushed the TikTok ban through Congress.

“The bill was dead until October 7th. After people saw anti-Semitic content on TikTok, it gained momentum.”"
The Apocalypse,2025-02-16 20:35:23+00:00,Another example demonstrating how Jews have control over the US. MISSION MAGA
Voice Of The Unheard,2025-02-16 20:35:22+00:00,"Senator Mark Warner made a significant statement at the Munich Security Conference, revealing that the TikTok ban gained traction only after the October 7th attacks, which highlighted concerns over anti-Semitic content on the platform. He emphasized that the bill was previously"
Raiyatul Alam,2025-02-16 21:28:59+00:00,"@buffbritonsplz
 regarding the Tiktok ban, there was a massive buzz going around that Israel likely instigated the apparent ban of Tiktok which got overturned at the behest of Trump temporarily who proposed an American company/hedge fund to own half of Tiktok. 1/2

Later it"
G,2025-02-16 20:41:08+00:00,"At least genocide committed but someone else is not a crime. 
We need freedom of speech."
Joe Kawaja,2025-02-16 22:29:29+00:00,"Zionism puts Israel first, and everyone else be damn."
Maximum Secrecy,2025-02-17 03:55:22+00:00,"The work of AIPAC, the foreign agent with the most power in Washington—bribery does magic in DC."
kemken76,2025-02-17 07:15:40+00:00,Whose senator is this vile man? Shame on you Americans.
Unfamous Buddha,2025-02-16 22:06:04+00:00,"Yes, anti-genocide is anti-Semitic according to the USA/Israeli war criminals.
Clash Report, do you agree or disagree?"
Inverse Cramer,2025-02-03 22:11:03+00:00,"TikTok Ban          Trade War
                         
           Lasting one day"
The Tech Arch,2025-02-03 22:12:30+00:00,Quick wins
Based Chadbal,2025-02-03 22:22:19+00:00,lol facts
Knight Rider,2025-02-03 22:13:17+00:00,So lame.  No real change
Robert Trent Howard,2025-02-03 23:18:08+00:00,there are those who understand how negotiation works and those who don't
The Awaken One,2025-02-03 22:13:23+00:00,This is wrong
Clara Hill,2025-02-27 12:14:04+00:00,TikTok not letting you add a link to your content (which is related to other content)..... i see why the yanks wanna ban it!!!!
Secular Talk (KyleKulinskiShow@bsky.social),2025-02-27 17:38:19+00:00,"- voted for 8 of Trump's cabinet members
- voted for Laken Riley act, killing due process for immigrants
- George W. Bush national security advisor 
- first dem endorsed by Liz Cheney
- pro Israeli genocide
- pro TikTok ban
- anti-student debt relief

GET THIS DISGUSTING MAGA SELL OUT COLLABORATOR OUT OF OUR FACES"
The BERN Identity,2025-02-27 23:42:40+00:00,Slotkin was also heavily backed by crypto + tech billionaire backed Fairshake - Protect Progress super PAC.
